id_palavra;palavra;dica
1;boato;Notícia anônima que se espalha rapidamente sem confirmação oficial.
2;botas;Calçados que protegem os pés e parte das pernas, usados em trilhas.
3;acola;Advérbio que indica um lugar distante de quem fala e de quem ouve.
4;arena;Local circular onde ocorrem competições ou grandes espetáculos.
5;orgao;Parte do corpo com função específica ou instrumento musical de tubos.
6;bosta;Termo vulgar para descrever excremento animal.
7;certo;Aquilo que está correto, exato ou sem nenhum erro.
8;aquem;Indica que algo está em posição inferior ou do lado de cá de um limite.
9;apuro;Situação de grande dificuldade ou necessidade de refinamento.
10;atual;O que pertence ao tempo presente ou é considerado moderno.
11;arduo;Algo que é muito difícil, cansativo ou penoso de se realizar.
12;aroma;Cheiro agradável que emana de flores, perfumes ou alimentos.
13;etico;Indivíduo que age de acordo com princípios morais e bons costumes.
14;natal;Celebração anual que marca o nascimento e a união familiar.
15;bambu;Planta de caule oco e resistente, muito comum na Ásia.
16;hotel;Estabelecimento que oferece hospedagem e serviços para viajantes.
17;bicho;Termo genérico usado para designar qualquer animal.
18;birra;Teimosia infantil ou comportamento de quem está amuado.
19;globo;Objeto esférico que representa o planeta Terra.
20;tedio;Sensação de enfado ou falta de interesse pelo que está acontecendo.
21;quase;Indica que algo faltou muito pouco para acontecer de fato.
22;passo;Cada movimento das pernas ao caminhar ou uma etapa de um processo.
23;ansia;Desejo intenso por algo ou sensação de sufocamento.
24;abalo;Choque emocional ou tremor de terra causado por forças naturais.
25;basto;Algo que existe em grande quantidade ou que é suficiente.
26;bodas;Celebração que marca o aniversário de um casamento.
27;elite;Grupo de pessoas que ocupa o topo da hierarquia social ou intelectual.
28;impar;Número que não é divisível por dois ou algo fora do comum.
29;bruma;Névoa baixa que reduz a visibilidade, comum em manhãs frias.
30;aceno;Movimento feito com a mão ou a cabeça para cumprimentar alguém.
31;brabo;Pessoa que está muito irritada, zangada ou que é valente.
32;sanar;Ato de curar uma doença ou resolver um problema pendente.
33;barao;Antigo título de nobreza ou termo usado para grandes empresários.
34;carro;Veículo de quatro rodas utilizado para o transporte de passageiros.
35;barba;Pelos que crescem no rosto de homens, cobrindo o queixo e as bochechas.
36;grade;Estrutura de metal ou madeira usada para proteção ou cercamento.
37;lindo;Adjetivo usado para algo que desperta admiração visual ou estética.
38;leite;Líquido branco e nutritivo produzido pelas fêmeas dos mamíferos.
39;bocal;Peça de instrumentos de sopro onde o músico coloca os lábios.
40;aceso;Estado de algo que está em chamas ou conectado à eletricidade.
41;terao;Verbo que indica posse ou existência em um tempo futuro.
42;balao;Objeto inflável usado em festas ou para voos tripulados.
43;drama;Gênero teatral ou situação da vida real com muita comoção.
44;anote;Ordem para que alguém registre uma informação por escrito.
45;usina;Estabelecimento industrial onde se produz energia ou açúcar.
